id,name,start_date,end_date,party,partyLabel,constituency,constituencyLabel,election
Q6370919,Karin S. Woldseth,2001-10-01,,Q485665,Fremskrittspartiet,,,Q1575198
Q11977234,Ingmar Ljones,2001-10-01,,Q1166025,Kristelig Folkeparti,,,Q1575198
Q7379814,Rune J. Skjælaaen,2001-10-01,,Q493685,Senterpartiet,,,Q1575198
Q6516001,Torbjørn Hansen,2001-10-01,,Q586364,Høyre,,,Q1575198
Q207655,Kjell Magne Bondevik,2001-10-01,,Q1166025,Kristelig Folkeparti,,,Q1575198
Q4807452,Asmund Kristoffersen,2001-10-01,,Q190219,Arbeiderpartiet,,,Q1575198
Q1770894,Petter Løvik,2001-10-01,,Q586364,Høyre,,,Q1575198
Q6515133,Lodve Solholm,2001-10-01,,Q485665,Fremskrittspartiet,,,Q1575198
Q6515087,May-Helen Molvær Grimstad,2001-10-01,,Q1166025,Kristelig Folkeparti,,,Q1575198
Q543818,Karita Bekkemellem Orheim,2001-10-01,,Q190219,Arbeiderpartiet,,,Q1575198
